nom_nivell,hora_inici,assistenciaMateixaHora1WeekBefore,assistenciaMateixaHora2WeekBefore,assistenciaMateixaHora3WeekBefore,assistenciaaHoraAnterior,assistencia
ESO,09:15:00,Present,NA,NA,Present,Present
ESO,09:15:00,Present,NA,NA,Present,Present
ESO,09:15:00,Present,NA,NA,Present,Present
ESO,09:15:00,Present,NA,NA,Present,Present
ESO,09:15:00,Present,NA,NA,Present,Present
ESO,09:15:00,Present,NA,NA,Present,Present
ESO,09:15:00,Present,NA,NA,Present,Present
ESO,09:15:00,Present,NA,NA,Present,Present
ESO,09:15:00,Absent,NA,NA,NA,Absent
ESO,10:30:00,Present,NA,NA,Present,Present
ESO,10:30:00,Present,NA,NA,Present,Present
ESO,10:30:00,Present,NA,NA,Present,Present
ESO,10:30:00,Present,NA,NA,Present,Present
ESO,10:30:00,Present,NA,NA,Present,Present
ESO,10:30:00,Present,NA,NA,Present,Present
ESO,10:30:00,Absent,NA,NA,Present,Present
ESO,10:30:00,Present,NA,NA,Present,Present
ESO,10:30:00,Present,NA,NA,Present,Present
ESO,10:30:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Absent,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Absent,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,18:05:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,19:00:00,NA,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Absent,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Absent,NA,NA,Absent,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,NA,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Absent
CFGS Admin,19:55:00,Present,NA,NA,Present,Absent
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Absent
CFGS Admin,19:55:00,Present,NA,NA,Present,Absent
CFGS Admin,19:55:00,NA,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Absent,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Absent,Absent
CFGS Admin,16:45:00,Present,NA,NA,Absent,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Absent,Absent
CFGS Admin,16:45:00,NA,NA,NA,NA,Present
CFGS Admin,16:45:00,Present,NA,NA,NA,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,Present,NA,NA,Absent,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,Absent,NA,NA,Present,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,18:05:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Absent,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:00:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Absent
CFGS Admin,19:55:00,Absent,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Absent
CFGS Admin,19:55:00,Present,NA,NA,Present,Absent
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,19:55:00,Present,NA,NA,Present,Present
CFGS Admin,14:45:00,Present,NA,NA,NA,Present
CFGS Admin,14:45:00,Present,NA,NA,NA,Absent
CFGS Admin,14:45:00,Present,NA,NA,NA,Present
CFGS Admin,14:45:00,Present,NA,NA,NA,Present
CFGS Admin,14:45:00,Present,NA,NA,NA,Present
CFGS Admin,14:45:00,Present,NA,NA,NA,Present
CFGS Admin,14:45:00,Present,NA,NA,NA,Present
CFGS Admin,14:45:00,Present,NA,NA,NA,Present
CFGS Admin,14:45:00,Present,NA,NA,NA,Absent
CFGS Admin,14:45:00,Present,NA,NA,NA,Present
CFGS Admin,14:45:00,Present,NA,NA,NA,Present
CFGS Admin,14:45:00,Present,NA,NA,NA,Present
CFGS Admin,15:45:00,Present,NA,NA,Present,Present
CFGS Admin,15:45:00,Present,NA,NA,Present,Present
CFGS Admin,15:45:00,Present,NA,NA,Absent,Absent
CFGS Admin,15:45:00,Present,NA,NA,Present,Present
CFGS Admin,15:45:00,Present,NA,NA,Present,Present
CFGS Admin,15:45:00,Present,NA,NA,Present,Present
CFGS Admin,15:45:00,Present,NA,NA,Present,Present
CFGS Admin,15:45:00,Present,NA,NA,Present,Present
CFGS Admin,15:45:00,Present,NA,NA,Present,Present
CFGS Admin,15:45:00,Absent,NA,NA,Absent,Absent
CFGS Admin,15:45:00,Present,NA,NA,Present,Present
CFGS Admin,15:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Absent
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Absent,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
CFGS Admin,16:45:00,Present,NA,NA,Present,Present
BTX,08:15:00,Present,Present,NA,NA,Absent
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Absent,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Absent
BTX,09:15:00,Present,Present,NA,Present,Present
BTX,09:15:00,Present,Present,NA,Present,Present
BTX,09:15:00,Present,Present,NA,Present,Present
BTX,09:15:00,Present,Present,NA,Present,Present
BTX,09:15:00,Present,Present,NA,Present,Present
BTX,09:15:00,Present,Present,NA,Present,Present
BTX,09:15:00,Present,Present,NA,Present,Present
BTX,09:15:00,Present,Present,NA,Present,Present
BTX,09:15:00,Present,Present,NA,Present,Present
BTX,09:15:00,NA,NA,NA,NA,Present
BTX,09:15:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Absent,Absent
BTX,12:45:00,Present,Present,NA,Present,Absent
BTX,12:45:00,Present,Absent,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Absent,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Absent,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Absent,NA,Present,Present
BTX,12:45:00,Present,Absent,NA,Present,Present
BTX,12:45:00,Present,Absent,NA,Absent,Absent
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Absent,NA,Present,Absent
BTX,12:45:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Absent,Absent,NA,Present,Absent
ESO,11:30:00,Absent,Absent,NA,NA,Present
ESO,11:30:00,Present,Absent,NA,Absent,Absent
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Absent,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
